route,stop_num,name,direction
18,11,87,f
18,12,93,f
18,13,224,f
18,14,222,f
18,15,81,f
18,16,185,f
18,17,84,f
18,18,64,f
18,19,283,f
18,20,70,f
18,21,157,f
18,22,196,f
18,23,117,f
18,24,136,f
18,25,136,f
18,26,235,f
18,27,14,f
18,28,191,f
18,29,6,f
18,30,298,f
18,31,298,b
18,32,6,b
18,33,191,b
18,34,14,b
18,35,235,b
18,36,136,b
18,37,136,b
18,38,117,b
18,39,196,b
18,40,157,b
18,41,70,b
18,42,283,b
18,43,64,b
18,44,84,b
18,45,185,b
18,46,81,b
18,47,222,b
18,48,224,b
18,49,93,b
18,50,87,b
18,51,276,b
18,52,111,b
18,53,145,b
18,54,23,b
18,55,195,b
18,56,247,b
18,57,55,b
18,58,139,b
18,59,121,b
18,60,122,b
18К,1,119,f
18К,2,,f
18К,3,121,f
18К,4,139,f
18К,5,55,f
18К,6,195,f
18К,7,195,f
18К,8,23,f
18К,9,145,f
18К,10,111,f
18К,11,276,f
18К,12,87,f
18К,13,93,f
18К,14,224,f
18К,15,222,f
18К,16,81,f
18К,17,185,f
18К,18,84,f
18К,19,84,b
18К,20,185,b
18К,21,81,b
18К,22,222,b
18К,23,224,b
18К,24,93,b
18К,25,87,b
18К,26,276,b
18К,27,111,b
18К,28,145,b
18К,29,23,b
18К,30,195,b
18К,31,247,b
18К,32,55,b
18К,33,139,b
18К,34,121,b
18К,35,,b
19,1,,f
19,2,22,f
19,3,166,f
19,4,19,f
19,5,96,f
19,6,231,f
19,7,65,f
19,8,211,f
19,9,207,f
19,10,71,f
19,11,216,f
19,12,183,f
19,13,205,b
19,14,46,b
19,15,226,b
19,16,71,b
19,17,207,b
19,18,211,b
19,19,65,b
19,20,231,b
19,21,40,b
19,22,96,b
19,23,53,b
19,24,19,b
19,25,166,b
19,26,22,b
19,27,,b
19К,1,178,f
19К,2,27,f
19К,3,71,f
19К,4,207,f
19К,5,211,f
19К,6,65,f
19К,7,231,f
19К,8,40,f
19К,9,187,f
19К,10,239,f
19К,11,119,b
19К,12,212,b
19К,13,187,b
19К,14,231,b
19К,15,65,b
19К,16,211,b
19К,17,207,b
19К,18,71,b
19К,19,216,b
19К,20,183,b
21,1,110,f
21,2,198,f
21,3,284,f
21,4,285,f
21,5,286,f
21,6,61,f
21,7,135,f
21,8,80,f
21,9,37,f
21,10,74,f
21,11,203,f
21,12,168,f
21,13,236,f
21,14,258,f
21,15,150,f
21,16,85,f
21,17,142,f
21,18,278,f
21,19,91,f
21,20,90,f
21,21,177,f
21,22,279,f
21,23,302,f
21,24,182,f
21,25,44,f
21,26,44,b
21,27,182,b
21,28,302,b
21,29,279,b
21,30,177,b
21,31,90,b
21,32,91,b
21,33,278,b
21,34,142,b
21,35,85,b
21,36,150,b
21,37,258,b
21,38,236,b
21,39,168,b
21,40,203,b
21,41,74,b
21,42,37,b
21,43,80,b
21,44,135,b
21,45,61,b
21,46,286,b
21,47,285,b
21,48,284,b
21,49,198,b
21,50,110,b
21Б,1,85,f
21Б,2,150,f
21Б,3,258,f
21Б,4,236,f
21Б,5,168,f
21Б,6,203,f
21Б,7,74,f
21Б,8,37,f
21Б,9,80,f
21Б,10,135,f
21Б,11,61,f
21Б,12,286,f
21Б,13,285,f
21Б,14,284,f
21Б,15,198,f
21Б,16,110,f
21Б,17,73,f
21Б,18,119,f
21Б,19,212,f
21Б,20,187,f
21Б,21,40,f
21Б,22,96,f
21Б,23,53,f
21Б,24,19,f
21Б,25,166,f
21Б,26,22,f
21Б,27,32,f
21Б,28,,b
21Б,29,166,b
21Б,30,19,b
21Б,31,96,b
21Б,32,40,b
21Б,33,187,b
21Б,34,239,b
21Б,35,119,b
21Б,36,73,b
21Б,37,110,b
21Б,38,198,b
21Б,39,284,b
21Б,40,285,b
21Б,41,286,b
21Б,42,61,b
21Б,43,135,b
21Б,44,80,b
21Б,45,37,b
21Б,46,74,b
21Б,47,203,b
21Б,48,168,b
21Б,49,236,b
21Б,50,258,b
21Б,51,150,b
21Б,52,85,b
21Т,1,168,f
21Т,2,236,f
21Т,3,258,f
21Т,4,150,f
21Т,5,85,f
21Т,6,142,f
21Т,7,278,f
21Т,8,91,f
21Т,9,90,f
21Т,10,177,f
21Т,11,279,f
21Т,12,302,f
21Т,13,182,f
21Т,14,44,f
21Т,15,44,b
21Т,16,182,b
21Т,17,302,b
21Т,18,278,b
21Т,19,177,b
21Т,20,90,b
21Т,21,91,b
21Т,22,279,b
21Т,23,142,b
21Т,24,85,b
21Т,25,150,b
21Т,26,258,b
21Т,27,236,b
21Т,28,168,b
22,1,109,f
22,2,120,f
22,3,256,f
22,4,110,f
22,5,198,f
22,6,296,f
22,7,293,f
22,8,15,f
22,9,94,f
22,10,272,f
22,11,269,f
22,12,153,f
22,13,294,f
22,14,175,f
22,15,297,f
22,16,297,b
22,17,175,b
22,18,294,b
22,19,153,b
22,20,269,b
22,21,272,b
22,22,94,b
22,23,15,b
22,24,293,b
22,25,296,b
22,26,198,b
22,27,110,b
22,28,245,b
22,29,256,b
22,30,189,b
22,31,120,b
22,32,109,b
22С,1,110,f
22С,2,198,f
22С,3,296,f
22С,4,293,f
22С,5,15,f
22С,6,94,f
22С,7,272,f
22С,8,272,b
22С,9,94,b
22С,10,15,b
22С,11,293,b
22С,12,296,b
22С,13,198,b
22С,14,110,b
23,1,310,f
23,2,41,f
23,3,138,f
23,4,214,f
23,5,220,f
23,6,296,f
23,7,198,f
23,8,110,f
23,9,256,f
23,10,189,f
23,11,120,f
23,12,109,f
23,13,307,f
23,14,103,f
23,15,77,f
23,16,167,f
23,17,114,f
23,18,148,f
23,19,108,f
23,20,202,f
23,21,263,f
23,22,112,f
23,23,125,f
23,24,97,f
23,25,309,f
23,26,31,f
23,27,174,f
23,28,188,f
23,29,260,f
23,30,78,f
23,31,6,f
23,32,298,f
23,33,298,b
23,34,78,b
23,35,260,b
23,36,188,b
23,37,174,b
23,38,31,b
23,39,309,b
23,40,97,b
23,41,125,b
23,42,112,b
23,43,112,b
23,44,202,b
23,45,108,b
23,46,148,b
23,47,114,b
23,48,167,b
23,49,77,b
23,50,103,b
23,51,307,b
23,52,109,b
23,53,120,b
23,54,256,b
23,55,110,b
23,56,198,b
23,57,296,b
23,58,220,b
23,59,214,b
23,60,138,b
23,61,41,b
23,62,310,b
24,1,137,f
24,2,110,f
24,3,198,f
24,4,284,f
24,5,285,f
24,6,149,f
24,7,33,f
24,8,34,f
24,9,35,f
24,10,36,f
24,11,45,f
24,12,45,b
24,13,36,b
24,14,35,b
24,15,34,b
24,16,33,b
24,17,149,b
24,18,285,b
24,19,284,b
24,20,198,b
24,21,110,b
24,22,256,b
25,1,298,f
25,2,6,f
25,3,191,f
25,4,14,f
25,5,235,f
25,6,136,f
25,7,240,f
25,8,263,f
25,9,49,f
25,10,57,f
25,11,263,f
25,12,202,f
25,13,108,f
25,14,148,f
25,15,114,f
25,16,167,f
25,17,76,f
25,18,61,f
25,19,286,f
25,20,285,f
25,21,284,f
25,22,198,f
25,23,198,f
25,24,296,f
25,25,220,f
25,26,214,f
25,27,138,f
25,28,134,f
25,29,66,f
25,30,249,f
25,31,237,f
25,32,,f
25,33,281,f
25,34,146,f
25,35,305,f
25,36,305,b
25,37,146,b
25,38,281,b
25,39,250,b
25,40,237,b
25,41,249,b
25,42,66,b
25,43,134,b
25,44,138,b
25,45,214,b
25,46,220,b
25,47,296,b
25,48,198,b
25,49,284,b
25,50,285,b
25,51,286,b
25,52,61,b
25,53,76,b
25,54,167,b
25,55,114,b
25,56,148,b
25,57,108,b
25,58,202,b
25,59,57,b
25,60,49,b
25,61,263,b
25,62,240,b
25,63,136,b
25,64,235,b
25,65,14,b
25,66,191,b
25,67,6,b
25,68,298,b
26,1,110,f
26,2,198,f
26,3,284,f
26,4,181,f
26,5,181,b
26,6,284,b
26,7,198,b
26,8,110,b
27,1,137,f
27,2,110,f
27,3,198,f
27,4,296,f
27,5,21,f
27,6,67,f
27,7,165,f
27,8,67,f
27,9,21,f
27,10,1,f
27,11,11,f
27,12,12,f
27,13,288,f
27,14,288,b
27,15,12,b
27,16,11,b
27,17,1,b
27,18,21,b
27,19,67,b
27,20,165,b
27,21,67,b
27,22,21,b
27,23,296,b
27,24,198,b
27,25,110,b
27,26,256,b
28,1,137,f
28,2,110,f
28,3,198,f
28,4,296,f
28,5,220,f
28,6,214,f
28,7,138,f
28,8,134,f
28,9,66,f
28,10,249,f
28,11,237,f
28,12,295,f
28,13,250,f
28,14,281,f
28,15,146,f
28,16,305,f
28,17,305,b
28,18,146,b
28,19,281,b
28,20,250,b
28,21,237,b
28,22,249,b
28,23,66,b
28,24,134,b
28,25,138,b
28,26,214,b
28,27,220,b
28,28,296,b
28,29,198,b
28,30,110,b
28,31,256,b
29,1,305,f
29,2,146,f
29,3,281,f
29,4,250,f
29,5,237,f
29,6,249,f
29,7,66,f
29,8,134,f
29,9,138,f
29,10,214,f
29,11,220,f
29,12,296,f
29,13,21,f
29,14,67,f
29,15,67,b
29,16,21,b
29,17,296,b
29,18,220,b
29,19,214,b
29,20,138,b
29,21,134,b
29,22,66,b
29,23,249,b
29,24,237,b
29,25,295,b
29,26,250,b
29,27,281,b
29,28,146,b
29,29,305,b
30,1,123,f
30,2,48,f
30,3,217,f
30,4,303,f
30,5,120,f
30,6,256,f
30,7,110,f
30,8,198,f
30,9,296,f
30,10,220,f
30,11,214,f
30,12,138,f
30,13,134,f
30,14,66,f
30,15,249,f
30,16,237,f
30,17,295,f
30,18,250,f
30,19,281,f
30,20,146,f
30,21,305,f
30,22,305,b
30,23,146,b
30,24,281,b
30,25,250,b
30,26,237,b
30,27,249,b
30,28,66,b
30,29,134,b
30,30,138,b
30,31,214,b
30,32,220,b
30,33,296,b
30,34,198,b
30,35,110,b
30,36,256,b
30,37,189,b
30,38,120,b
30,39,303,b
30,40,86,b
30,41,123,b
32,1,237,f
32,2,249,f
32,3,66,f
32,4,134,f
32,5,138,f
32,6,214,f
32,7,220,f
32,8,296,f
32,9,198,f
32,10,110,f
32,11,242,f
32,12,120,f
32,13,,f
32,14,103,f
32,15,77,f
32,16,167,f
32,17,77,b
32,18,103,b
32,19,307,b
32,20,109,b
32,21,120,b
32,22,256,b
32,23,110,b
32,24,198,b
32,25,296,b
32,26,220,b
32,27,214,b
32,28,138,b
32,29,134,b
32,30,66,b
32,31,249,b
32,32,237,b
32,33,295,b
32П,1,110,f
32П,2,296,f
32П,3,220,f
32П,4,214,f
32П,5,138,f
32П,6,66,f
32П,7,249,f
32П,8,237,f
32П,9,295,f
32П,10,250,f
32П,11,,b
32Т,1,73,f
32Т,2,110,f
32Т,3,198,f
32Т,4,296,f
32Т,5,220,f
32Т,6,214,f
32Т,7,138,f
32Т,8,66,f
32Т,9,249,f
32Т,10,237,f
32Т,11,295,f
32Т,12,250,f
